treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
1,37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9930.046
1,22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,3595.894
1,30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,24909.45
1,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,7506.146
1,33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,289.7899
1,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4056.494
1,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,8472.158
1,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2164.022
1,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,12418.07
1,19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,8173.908
1,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,17094.64
1,18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,18739.93
1,17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3023.879
1,19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,3228.503
1,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,14581.86
1,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7693.4
1,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10804.32
1,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10747.35
1,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.501
1,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6408.95
1,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1991.4
1,18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,11163.17
1,29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9642.999
1,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,9897.049
1,27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,11142.87
1,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,16218.04
1,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,995.7002
1,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6551.592
1,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1574.424
1,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3191.753
1,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20505.93
1,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,6181.88
1,23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,5911.551
1,46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,3094.156
1,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1254.582
1,19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,13188.83
1,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,8061.485
1,18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,2787.96
1,20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,3972.54
1,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,12187.41
1,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4843.176
1,28.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,8087.487
1,18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2348.973
1,30.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,590.7818
1,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,37.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1067.506
1,41.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,7284.986
1,42.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,13167.52
1,22.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1048.432
1,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,29.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1923.938
1,35.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,4666.236
1,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,549.2984
1,29.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,762.9146
1,28.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,10694.29
1,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,23.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,45.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,8546.715
1,29.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,7479.656
1,27.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,46.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,647.2046
1,18.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,11965.81
1,28.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,9598.541
1,25.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,18783.35
1,22.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,18678.08
1,21.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,40.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,23005.6
1,22.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,6456.697
1,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2321.107
1,38.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4941.849
1,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,38.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,23.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,3881.284
1,26.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,17230.96
1,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8048.603
1,25.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,14509.93
1,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,9983.784
1,44.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5587.503
1,18.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4482.845
1,42.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2456.153
1,25.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,31.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,26817.6
1,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,26.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,9265.788
1,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,485.2298
1,18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,4814.627
1,19.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,7458.105
1,43.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,34099.28
1,17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1953.268
1,30.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,26.0,10.0,1.0,0.0,1.0,1.0,2027.999,0.0,0.0
1,20.0,9.0,1.0,0.0,0.0,1.0,6083.994,0.0,8881.665
1,17.0,9.0,0.0,1.0,0.0,1.0,445.1704,74.34345,6210.67
1,20.0,12.0,1.0,0.0,0.0,0.0,989.2678,165.2077,0.0
1,18.0,11.0,1.0,0.0,0.0,1.0,858.2543,214.5636,929.8839
1,27.0,12.0,1.0,0.0,1.0,0.0,3670.872,334.0493,0.0
1,21.0,12.0,0.0,0.0,0.0,0.0,3670.872,334.0494,12558.02
1,27.0,12.0,1.0,0.0,0.0,0.0,2143.413,357.9499,22163.25
1,20.0,12.0,1.0,0.0,0.0,0.0,0.0,377.5686,1652.637
1,19.0,10.0,1.0,0.0,0.0,1.0,0.0,385.2741,8124.715
1,23.0,12.0,1.0,0.0,0.0,0.0,5506.308,501.0741,671.3318
1,29.0,14.0,1.0,0.0,0.0,0.0,0.0,679.6734,17814.98
1,18.0,10.0,1.0,0.0,0.0,1.0,0.0,798.9079,9737.154
1,19.0,9.0,1.0,0.0,0.0,1.0,0.0,798.9079,17685.18
1,27.0,13.0,0.0,0.0,1.0,0.0,9381.566,853.7225,0.0
1,18.0,11.0,0.0,0.0,0.0,1.0,3678.231,919.5579,4321.705
1,27.0,9.0,1.0,0.0,1.0,1.0,0.0,934.4454,1773.423
1,22.0,12.0,1.0,0.0,0.0,0.0,5605.852,936.1773,0.0
1,23.0,10.0,1.0,0.0,1.0,1.0,0.0,936.4386,11233.26
1,23.0,12.0,0.0,1.0,0.0,0.0,9385.74,1117.439,559.4432
1,20.0,11.0,1.0,0.0,0.0,1.0,3637.498,1220.836,1085.44
1,17.0,9.0,1.0,0.0,0.0,1.0,1716.509,1253.439,5445.2
1,28.0,11.0,1.0,0.0,0.0,1.0,0.0,1284.079,60307.93
1,26.0,11.0,1.0,0.0,1.0,1.0,0.0,1392.853,1460.36
1,20.0,11.0,1.0,0.0,0.0,1.0,16318.62,1484.994,6943.342
1,24.0,11.0,1.0,0.0,1.0,1.0,824.3886,1666.113,4032.708
1,31.0,9.0,1.0,0.0,0.0,1.0,0.0,1698.607,10363.27
1,23.0,8.0,0.0,0.0,1.0,1.0,0.0,1713.15,4232.309
1,18.0,10.0,1.0,0.0,0.0,1.0,2143.411,1784.274,11141.39
1,29.0,12.0,1.0,0.0,0.0,0.0,10881.94,1817.284,0.0
1,26.0,11.0,0.0,0.0,0.0,1.0,0.0,2226.266,13385.86
1,24.0,9.0,1.0,0.0,0.0,1.0,9154.7,2288.675,4849.559
1,25.0,12.0,1.0,0.0,0.0,0.0,14426.79,2409.274,0.0
1,24.0,10.0,1.0,0.0,0.0,1.0,4250.402,2421.947,1660.508
1,46.0,8.0,1.0,0.0,0.0,1.0,3165.658,2594.723,0.0
1,31.0,12.0,0.0,0.0,0.0,0.0,0.0,2611.218,2484.549
1,19.0,11.0,1.0,0.0,0.0,1.0,2305.026,2615.276,4146.603
1,19.0,8.0,1.0,0.0,0.0,1.0,0.0,2657.057,9970.681
1,27.0,11.0,1.0,0.0,0.0,1.0,2206.94,2666.274,0.0
1,26.0,11.0,1.0,0.0,1.0,1.0,0.0,2754.646,26372.28
1,20.0,10.0,1.0,0.0,0.0,1.0,5005.731,2777.355,5615.189
1,28.0,10.0,1.0,0.0,0.0,1.0,0.0,2836.506,3196.571
1,24.0,12.0,1.0,0.0,0.0,0.0,13765.75,2842.764,6167.681
1,19.0,8.0,1.0,0.0,0.0,1.0,2636.353,2937.264,7535.942
1,23.0,12.0,1.0,0.0,0.0,0.0,6269.341,3039.96,8484.239
1,42.0,9.0,1.0,0.0,1.0,1.0,0.0,3058.531,1294.409
1,25.0,13.0,1.0,0.0,0.0,0.0,12362.93,3090.732,0.0
